               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10739,            0.010259,            0.071387,           0.0018221,           0.0097511,            0.000703,          0.00015321,            0.097291,           0.0099279,            0.069561,           0.0001525,           0.0001525,            0.094053
                   1,            0.085036,            0.012909,            0.067924,            0.030421,             0.13643,            0.017707,           0.0043472,            0.070445,            0.011967,            0.066705,          0.00030742,          0.00030742,            0.088007
                   2,            0.061286,            0.014392,            0.066503,             0.04716,             0.36948,            0.047797,            0.016256,            0.052596,            0.011223,            0.065392,          0.00046205,          0.00046205,            0.081962
                   3,            0.051124,            0.012845,            0.065842,             0.10717,             0.28044,            0.076177,            0.035432,            0.046475,           0.0099719,            0.064408,          0.00061614,          0.00061614,            0.075916
                   4,            0.047459,            0.011851,            0.065322,              0.1008,             0.29264,                0.11,            0.061444,            0.040671,           0.0093011,            0.063908,          0.00076947,          0.00076947,            0.069869
                   5,            0.044016,            0.010886,            0.064884,             0.09837,             0.36973,             0.11708,            0.056681,            0.045795,           0.0080615,            0.063437,          0.00092182,          0.00092182,            0.063822
                   6,            0.040883,           0.0099489,            0.064328,             0.12934,             0.25679,             0.14338,            0.072205,             0.04138,            0.007787,            0.062659,            0.001073,            0.001073,            0.057773
                   7,            0.039212,            0.009319,            0.063734,             0.14818,             0.44074,             0.18813,             0.11633,            0.038661,           0.0068213,            0.061748,           0.0012227,           0.0012227,            0.051723
                   8,            0.037844,           0.0083728,            0.062502,             0.18049,             0.38265,             0.20236,             0.08071,            0.045564,           0.0060901,            0.060396,           0.0013707,           0.0013707,            0.045671
                   9,            0.036727,           0.0079452,            0.061042,             0.21949,             0.44842,             0.25148,             0.12553,            0.035105,           0.0058429,              0.0581,           0.0015169,           0.0015169,            0.039617
                  10,            0.035879,           0.0074716,            0.059156,             0.24584,             0.51274,             0.28615,             0.18191,            0.032013,            0.005936,            0.056085,            0.001661,            0.001661,            0.033561
                  11,            0.034908,           0.0071436,            0.056766,             0.24848,             0.58239,             0.32289,             0.20664,            0.032534,           0.0056175,            0.053753,           0.0018029,           0.0018029,            0.027503
                  12,            0.034531,            0.006903,            0.054669,             0.30876,             0.58452,             0.36784,             0.19535,            0.032807,           0.0052479,             0.05165,           0.0019422,           0.0019422,            0.021442
                  13,            0.032433,           0.0064764,            0.052884,             0.26778,             0.59733,             0.36601,             0.20579,            0.034207,           0.0050494,            0.050312,           0.0020788,           0.0020788,            0.015379
                  14,             0.03275,           0.0067509,            0.050639,             0.27476,             0.65887,             0.42293,             0.24955,            0.031262,           0.0063228,            0.048098,           0.0022125,           0.0022125,           0.0093125
                  15,            0.032419,           0.0066551,            0.049085,             0.32679,             0.66574,             0.45892,             0.28381,            0.029786,           0.0051619,            0.046842,           0.0023432,           0.0023432,           0.0032432
                  16,            0.031034,           0.0066815,            0.047236,             0.46622,             0.53396,             0.49614,              0.3279,            0.029209,           0.0053102,            0.045323,           0.0023462,           0.0023462,           0.0023462
                  17,            0.031477,           0.0065533,            0.045188,             0.38509,             0.73597,              0.5514,             0.35472,            0.029109,           0.0050297,            0.042363,           0.0023462,           0.0023462,           0.0023462
                  18,            0.031023,           0.0064811,            0.042344,              0.4014,             0.68656,             0.55775,             0.34469,            0.031786,           0.0053501,             0.03999,           0.0023268,           0.0023268,           0.0023268
                  19,            0.031299,           0.0064614,            0.039708,             0.49171,             0.67947,             0.58518,             0.38457,            0.029434,           0.0047832,             0.03828,           0.0023064,           0.0023064,           0.0023064
