               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11589,           0.0089007,            0.072024,          0.00072327,             0.01474,          0.00023828,          6.1777e-05,             0.11366,           0.0082349,            0.073558,            3.75e-05,            3.75e-05,            0.098538
                   1,             0.10824,           0.0097649,            0.071025,           0.0010213,           0.0052083,          0.00035926,          8.5314e-05,             0.10777,           0.0089176,            0.071949,          7.7481e-05,          7.7481e-05,            0.096977
                   2,             0.10438,            0.010574,             0.07004,          0.00046768,             0.14934,           0.0003725,          7.2621e-05,             0.10313,           0.0093724,             0.07057,          0.00011738,          0.00011738,            0.095417
                   3,            0.099823,            0.011043,            0.068984,          0.00059727,             0.18784,          0.00050025,          0.00011272,            0.097178,           0.0099848,            0.069516,          0.00015715,          0.00015715,            0.093857
                   4,            0.092937,            0.011726,            0.068121,           0.0019232,            0.053445,           0.0013656,          0.00033036,            0.090973,             0.01056,            0.068737,          0.00019673,          0.00019673,            0.092297
                   5,            0.086976,            0.012336,            0.067457,           0.0087567,             0.11371,           0.0052059,           0.0017206,            0.083626,            0.011135,            0.067911,          0.00023605,          0.00023605,            0.090736
                   6,            0.079851,            0.013607,            0.066716,            0.026089,             0.18141,             0.01916,           0.0069133,            0.074282,            0.011819,            0.067246,          0.00027505,          0.00027505,            0.089175
                   7,            0.071753,            0.014026,            0.066053,            0.040015,             0.18025,            0.034662,            0.011547,            0.067357,            0.012196,            0.066825,           0.0003137,           0.0003137,            0.087614
                   8,            0.066626,            0.013933,            0.065996,            0.053916,             0.13232,            0.040021,            0.014135,            0.060669,            0.012248,            0.066573,          0.00035191,          0.00035191,            0.086052
                   9,            0.062484,            0.014149,             0.06568,            0.032784,             0.16221,            0.027417,            0.006136,            0.059079,            0.011942,            0.066325,          0.00038965,          0.00038965,             0.08449
                  10,            0.058715,            0.014063,            0.065643,            0.034432,             0.23895,            0.033381,            0.010134,            0.055752,            0.011472,            0.066029,          0.00042685,          0.00042685,            0.082927
                  11,            0.054346,            0.013487,            0.065402,            0.051018,             0.36265,            0.056808,            0.019293,            0.050557,            0.011196,             0.06564,          0.00046346,          0.00046346,            0.081363
                  12,            0.052306,            0.012662,            0.065091,            0.070846,             0.29874,             0.06661,            0.027346,            0.052175,            0.010662,            0.065289,          0.00049942,          0.00049942,            0.079799
                  13,            0.051871,            0.012436,            0.064902,            0.065844,             0.42066,            0.074213,             0.03679,             0.04937,            0.010372,            0.064996,          0.00053469,          0.00053469,            0.078235
                  14,            0.050542,            0.012074,            0.064651,             0.16276,             0.19905,             0.08831,             0.04344,            0.049176,            0.009961,            0.064738,          0.00056921,          0.00056921,            0.076669
